년도,CO2 (ppm),기온 (C) 
1959,315.98,0.03
1960,316.91,-0.02
1961,317.64,0.06
1962,318.45,0.03
1963,318.99,0.05
1964,319.62,-0.2
1965,320.04,-0.11
1966,321.37,-0.06
1967,322.18,-0.02
1968,323.05,-0.08
1969,324.62,0.05
1970,325.68,0.03
1971,326.32,-0.08
1972,327.46,0.01
1973,329.68,0.16
1974,330.19,-0.07
1975,331.12,-0.01
1976,332.03,-0.1
1977,333.84,0.18
1978,335.41,0.07
1979,336.84,0.16
1980,338.76,0.26
1981,340.12,0.32
1982,341.48,0.14
1983,343.15,0.31
1984,344.85,0.16
1985,346.35,0.12
1986,347.61,0.18
1987,349.31,0.32
1988,351.69,0.39
1989,353.2,0.27
1990,354.45,0.45
1991,355.7,0.41
1992,356.54,0.22
1993,357.21,0.23
1994,358.96,0.32
1995,360.97,0.45
1996,362.74,0.33
1997,363.88,0.46
1998,366.84,0.61
1999,368.54,0.38
2000,369.71,0.39
2001,371.32,0.54
2002,373.45,0.63
2003,375.98,0.62
2004,377.7,0.54
2005,379.98,0.68
2006,382.09,0.64
2007,384.03,0.67
2008,385.83,0.54
2009,387.64,0.66
2010,390.1,0.72
2011,391.85,0.61
2012,394.06,0.64
2013,396.74,0.68
2014,398.87,0.75
2015,401.01,0.9
2016,404.41,1.01
2017,406.76,0.92
2018,408.72,0.85
2019,411.66,0.98
,,
평균,355.437377,0.334098361