Country,GDP,temperature,precipitation,mortality
 Burkina Faso, 787 ,28.3 , 748.0 , 7.5 
 Mali, 887 ,28.3 , 282.0 , 8.3 
 Djibouti," 3,252 ",28.0 , 220.0 , 7.1 
 Tuvalu," 4,036 ",28.0 ," 3,200.0 ", 7.9 
 Senegal," 1,452 ",27.9 , 686.0 , 5.0 
 Mauritania," 1,678 ",27.7 , 92.0 , 7.3 
 Maldives," 10,626 ",27.7 ," 1,972.0 ", 4.2 
 Benin," 1,220 ",27.6 ," 1,039.0 ", 7.8 
 Ghana," 2,203 ",27.2 ," 1,187.0 ", 6.0 
 Bahrain," 23,504 ",27.2 , 83.0 , 2.8 
 Niger, 555 ,27.2 , 151.0 , 9.7 
 Qatar," 64,782 ",27.2 , 74.0 , 1.4 
 Seychelles," 17,382 ",27.2 ," 2,330.0 ", 6.9 
 Togo, 899 ,27.2 ," 1,168.0 ", 5.2 
 Somalia, 105 ,27.1 , 282.0 , 11.4 
 United Arab Emirates," 43,103 ",27.0 , 78.0 , 1.6 
 Sri Lanka," 3,940 ",27.0 ," 1,712.0 ", 6.5 
 Sudan, 815 ,26.9 , 250.0 , 6.2 
 Brunei," 31,086 ",26.9 ," 2,722.0 ", 3.9 
 Cambodia," 1,644 ",26.8 ," 1,904.0 ", 5.7 
 Nigeria," 2,361 ",26.8 ," 1,150.0 ", 8.5 
 Saint Vincent and the Grenadines," 7,464 ",26.8 ," 1,583.0 ", 7.6 
 Guinea-Bissau, 688 ,26.8 ," 1,577.0 ", 7.3 
 Samoa," 4,285 ",26.7 ," 2,880.0 ", 5.4 
 Chad, 707 ,26.6 , 322.0 , 9.2 
 Singapore," 64,103 ",26.5 ," 2,497.0 ", 4.2 
 Thailand," 7,785 ",26.3 ," 1,622.0 ", 7.9 
 Sierra Leone, 528 ,26.1 ," 2,526.0 ", 9.1 
 Antigua and Barbuda," 17,113 ",26.0 ," 1,030.0 ", 5.7 
 Barbados," 18,149 ",26.0 ," 1,422.0 ", 8.0 
 Guyana," 6,610 ",26.0 ," 2,387.0 ", 7.0 
 Indonesia," 4,136 ",25.9 ," 2,702.0 ", 6.8 
 Philippines," 3,324 ",25.9 ," 2,348.0 ", 6.3 
 Trinidad and Tobago," 16,637 ",25.8 ," 2,200.0 ", 8.5 
 Guinea, 967 ,25.7 ," 1,651.0 ", 8.0 
 Suriname," 6,360 ",25.7 ," 2,331.0 ", 6.6 
 Solomon Islands," 1,945 ",25.7 ," 3,028.0 ", 4.0 
 Oman," 15,343 ",25.6 , 125.0 , 3.2 
 Comoros," 1,370 ",25.6 , 900.0 , 6.5 
 Eritrea, 567 ,25.5 , 384.0 , 6.6 
 Saint Lucia," 11,611 ",25.5 ," 2,301.0 ", 8.2 
 Malaysia," 11,414 ",25.4 ," 2,875.0 ", 5.7 
 Panama," 15,728 ",25.4 ," 2,928.0 ", 5.9 
 Belize," 4,884 ",25.3 ," 1,705.0 ", 3.9 
 Kuwait," 31,999 ",25.4 , 121.0 , 2.3 
 Venezuela," 4,733 ",25.4 ," 2,044.0 ", 6.6 
 Liberia, 523 ,25.3 ," 2,391.0 ", 6.5 
 Papua New Guinea," 2,845 ",25.3 ," 3,142.0 ", 5.5 
 Cuba," 9,296 ",25.2 ," 1,335.0 ", 9.4 
 Gabon," 7,773 ",25.1 ," 1,831.0 ", 5.6 
 Bangladesh," 1,846 ",25.0 ," 2,666.0 ", 5.5 
 Brazil," 8,755 ",25.0 ," 1,761.0 ", 6.9 
 Jamaica," 5,369 ",25.0 ," 2,051.0 ", 7.4 
 Central African Republic, 468 ,24.9 ," 1,343.0 ", 11.5 
 Haiti, 715 ,24.9 ," 1,440.0 ", 7.2 
 Vietnam," 2,715 ",24.5 ," 1,821.0 ", 5.8 
 Nicaragua," 1,913 ",24.9 ," 2,280.0 ", 5.2 
 Costa Rica," 12,238 ",24.8 ," 2,926.0 ", 5.0 
 Kenya," 1,817 ",24.8 , 630.0 , 5.0 
 Saudi Arabia," 23,140 ",24.7 , 59.0 , 3.5 
 Cameroon," 1,534 ",24.6 ," 1,604.0 ", 7.5 
 Dominican Republic," 8,282 ",24.6 ," 1,410.0 ", 6.3 
 Equatorial Guinea," 8,130 ",24.6 ," 2,156.0 ", 8.9 
 Colombia," 6,432 ",24.5 ," 3,240.0 ", 7.8 
 Saint Kitts and Nevis," 19,896 ",24.5 ," 1,427.0 ", 7.3 
 El Salvador," 4,187 ",24.5 ," 1,784.0 ", 5.9 
 Fiji," 6,185 ",24.4 ," 2,592.0 ", 6.4 
 Vanuatu," 3,023 ",24.0 ," 2,000.0 ", 4.0 
 Yemen, 855 ,23.9 , 167.0 , 5.5 
 Mozambique, 504 ,23.8 ," 1,032.0 ", 9.9 
 São Tomé and Príncipe," 1,961 ",23.8 ," 3,200.0 ", 6.1 
 India," 2,116 ",23.7 ," 1,083.0 ", 9.7 
 Paraguay," 5,406 ",23.6 ," 1,130.0 ", 4.9 
 Honduras," 2,575 ",23.5 ," 1,976.0 ", 4.7 
 Guatemala," 4,363 ",23.5 ," 1,996.0 ", 4.9 
 Cape Verde," 3,604 ",23.3 , 228.0 , 5.8 
 Laos," 2,625 ",22.8 ," 1,834.0 ", 6.3 
 Uganda, 737 ,22.8 ," 1,180.0 ", 4.9 
 Madagascar, 523 ,22.7 ," 1,513.0 ", 5.9 
 Mauritius," 11,169 ",22.4 ," 2,041.0 ", 9.0 
 Dominica," 8,111 ",22.4 ," 2,083.0 ", 8.1 
 Tanzania," 1,084 ",22.4 ," 1,071.0 ", 5.0 
 Ethiopia, 828 ,22.2 , 848.0 , 5.6 
 Egypt," 3,161 ",22.1 , 18.0 , 4.3 
 Malawi, 435 ,21.9 ," 1,181.0 ", 4.5 
 Ecuador," 6,184 ",21.9 ," 2,274.0 ", 5.2 
 Libya," 4,810 ",21.8 , 56.0 , 3.5 
 Australia," 54,763 ",21.7 , 534.0 , 6.8 
 Angola," 2,671 ",21.6 ," 1,010.0 ", 7.8 
 Bolivia," 3,552 ",21.6 ," 1,146.0 ", 4.3 
 Botswana," 7,961 ",21.5 , 416.0 , 9.0 
 Iraq," 5,730 ",21.4 , 216.0 , 3.9 
 Eswatini," 4,002 ",21.4 , 788.0 , 9.5 
 Zambia," 1,292 ",21.4 ," 1,020.0 ", 6.0 
 Mexico," 9,849 ",21.0 , 758.0 , 7.1 
 Zimbabwe," 1,464 ",21.0 , 657.0 , 8.5 
 Pakistan," 1,187 ",21.0 , 494.0 , 5.9 
 Namibia," 4,957 ",21.0 , 285.0 , 6.6 
 Burundi, 260 ,20.8 ," 1,274.0 ", 5.9 
 Peru," 6,978 ",20.6 ," 1,738.0 ", 11.0 
 Israel," 46,376 ",20.2 , 435.0 , 5.1 
 Malta," 33,752 ",20.2 , 560.0 , 8.6 
 Cyprus," 28,285 ",19.5 , 498.0 , 7.0 
 Jordan," 4,405 ",19.3 , 111.0 , 3.5 
 Rwanda, 820 ,18.9 ," 1,212.0 ", 5.8 
 Algeria," 3,976 ",18.8 , 89.0 , 4.3 
 South Africa," 6,001 ",18.8 , 495.0 , 9.3 
 Syria," 1,194 ",18.8 , 252.0 , 4.1 
 Uruguay," 16,190 ",18.6 ," 1,300.0 ", 9.1 
 Iran," 7,282 ",18.3 , 228.0 , 5.2 
 Morocco," 3,282 ",18.1 , 346.0 , 6.6 
 Lebanon," 7,784 ",17.4 , 661.0 , 5.6 
 Tunisia," 3,318 ",16.3 , 207.0 , 6.4 
 Portugal," 23,350 ",15.2 , 854.0 , 10.9 
 Turkmenistan," 8,124 ",15.1 , 161.0 , 6.0 
 Argentina," 10,041 ",14.8 , 591.0 , 7.3 
 Greece," 19,604 ",14.4 , 652.0 , 12.0 
 Italy," 33,090 ",13.5 , 832.0 , 11.3 
 Spain," 29,816 ",13.3 , 636.0 , 10.1 
 Myanmar," 1,421 ",13.1 ," 2,091.0 ", 7.1 
 Afghanistan, 470 ,12.6 , 327.0 , 12.1 
 Uzbekistan," 1,756 ",12.1 , 206.0 , 5.4 
 Azerbaijan," 4,782 ",12.0 , 447.0 , 6.9 
 Lesotho," 1,158 ",11.9 , 788.0 , 10.9 
" Korea, South"," 32,143 ",11.5 ," 1,274.0 ", 7.3 
 Albania," 5,303 ",11.4 ," 1,485.0 ", 7.4 
 Japan," 40,063 ",11.2 ," 1,668.0 ", 11.7 
 Croatia," 14,627 ",10.9 ," 1,113.0 ", 13.0 
 France," 40,319 ",10.7 , 867.0 , 9.5 
 Bulgaria," 9,703 ",10.6 , 608.0 , 14.3 
 New Zealand," 43,264 ",10.6 ," 1,732.0 ", 6.9 
 Turkey," 9,127 ",9.9 , 593.0 , 6.1 
 Bosnia and Herzegovina," 6,109 ",9.9 ," 1,028.0 ", 10.3 
 Hungary," 16,879 ",9.8 , 589.0 , 12.9 
 Belgium," 46,198 ",9.6 , 847.0 , 9.6 
 Moldova," 2,957 ",9.5 , 450.0 , 12.5 
 Ireland," 81,637 ",9.3 ," 1,118.0 ", 6.7 
 Netherlands," 53,053 ",9.3 , 778.0 , 9.3 
 Slovenia," 26,062 ",8.9 ," 1,162.0 ", 10.5 
 Romania," 12,914 ",8.8 , 637.0 , 14.9 
 Luxembourg," 115,481 ",8.7 , 934.0 , 7.2 
 United States," 65,134 ",8.6 , 715.0 , 8.4 
 Germany," 46,232 ",8.5 , 700.0 , 12.0 
 Chile," 14,896 ",8.5 ," 1,522.0 ", 6.6 
 United Kingdom," 41,855 ",8.5 ," 1,220.0 ", 9.1 
 Ukraine," 3,496 ",8.3 , 565.0 , 13.7 
   Nepal," 1,074 ",8.1 ," 1,500.0 ", 5.6 
 Poland," 15,727 ",7.9 , 600.0 , 9.4 
 Czech Republic," 23,452 ",7.6 , 677.0 , 10.8 
 Bhutan," 3,361 ",7.4 ," 2,200.0 ", 6.1 
 Armenia," 4,623 ",7.2 , 562.0 , 9.5 
 China," 10,004 ",7.0 , 645.0 , 7.8 
 Slovakia," 19,256 ",6.8 , 824.0 , 10.2 
 Kazakhstan," 9,793 ",6.4 , 250.0 , 8.1 
 Austria," 49,701 ",6.4 ," 1,110.0 ", 9.9 
 Belarus," 6,674 ",6.2 , 618.0 , 12.8 
 Lithuania," 19,795 ",6.2 , 656.0 , 15.2 
 Georgia," 4,439 ",5.8 ," 1,026.0 ", 10.8 
 Latvia," 17,885 ",5.6 , 667.0 , 14.7 
  Switzerland," 85,135 ",5.5 ," 1,537.0 ", 8.4 
 Estonia," 23,740 ",5.1 , 626.0 , 13.1 
 Denmark," 60,657 ",2.7 , 703.0 , 9.6 
 Sweden," 52,896 ",2.1 , 624.0 , 9.5 
 Tajikistan, 894 ,2.0 , 691.0 , 5.7 
 Iceland," 71,345 ",1.8 ," 1,940.0 ", 6.6 
 Finland," 48,678 ",1.7 , 536.0 , 10.4 
 Kyrgyzstan," 1,318 ",1.6 , 533.0 , 6.1 
 Norway," 74,986 ",1.5 ," 1,414.0 ", 7.9 
,,,,
,,,,
,,,,
,,,,